,firm
2756,36.6
2757,46.2
2758,43.6
2759,58.6
2608,20.2
2609,22.6
2610,21.6
2611,17.2
2376,52.6
2377,46.0
2378,50.4
2379,47.4
2680,38.2
2681,36.4
2682,38.0
2683,33.2
1192,37.2
1193,38.8
1194,40.8
1195,42.2
3544,40.0
3545,37.4
3546,40.0
3547,37.8
1256,25.6
1257,27.8
1258,25.2
1259,28.6
1240,30.0
1241,25.2
1242,26.0
1243,20.6
1444,24.0
1445,26.7
1446,25.8
1447,24.2
1916,14.0
1917,28.6
1918,19.4
1919,12.8
440,56.0
441,47.6
442,52.0
443,54.6
3964,53.4
3965,45.4
3966,62.0
3967,48.0
1944,55.2
1945,46.4
1946,51.2
1947,60.6
1452,25.2
1453,22.8
1454,28.8
1455,25.2
1016,17.6
1017,7.2
1018,5.4
1019,9.6
1036,20.0
1037,20.6
1038,15.6
1039,17.0
2728,43.2
2729,46.8
2730,46.4
2731,44.4
2716,40.4
2717,42.8
2718,43.8
2719,40.6
1976,55.8
1977,60.8
1978,56.2
1979,62.4
2504,38.0
2505,37.2
2506,39.0
2507,35.2
1508,24.0
1509,27.0
1510,27.6
1511,27.0
2104,64.6
2105,53.6
2106,55.6
2107,52.0
2944,22.2
2945,21.6
2946,22.8
2947,27.6
548,36.2
549,41.8
550,39.0
551,43.2
1420,21.2
1421,24.4
1422,25.6
1423,14.4
1460,27.8
1461,26.4
1462,29.6
1463,26.8
3696,36.2
3697,33.2
3698,35.0
3699,36.4
3004,32.8
3005,31.0
3006,29.4
3007,28.0
3800,36.8
3801,38.0
3802,36.2
3803,32.6
3184,59.2
3185,55.4
3186,54.0
3187,48.0
2324,35.6
2325,34.2
2326,33.6
2327,34.0
796,31.8
797,32.8
798,26.4
799,28.4
852,10.0
853,8.4
854,9.6
855,10.6
1632,49.0
1633,53.0
1634,57.4
1635,52.6
1328,27.8
1329,24.6
1330,32.6
1331,28.4
832,40.0
833,42.2
834,40.0
835,40.0
2460,42.0
2461,50.6
2462,48.0
2463,46.4
312,47.2
313,49.6
314,47.8
315,43.4
116,37.2
117,43.2
118,39.2
119,47.2
2140,51.4
2141,43.6
2142,55.4
2143,50.0
2788,37.4
2789,32.8
2790,36.6
2791,39.0
2228,47.4
2229,44.0
2230,38.2
2231,42.6
2576,43.8
2577,47.6
2578,47.4
2579,47.6
2392,44.8
2393,46.4
2394,48.8
2395,46.8
660,36.4
661,36.8
662,34.4
663,35.8
3680,45.2
3681,38.4
3682,37.0
3683,42.8
1980,48.8
1981,46.4
1982,60.8
1983,56.4
3304,11.0
3305,9.4
3306,8.4
3307,9.2
260,52.4
261,61.0
262,46.8
263,49.0
564,41.0
565,39.0
566,37.2
567,37.4
3708,44.6
3709,51.2
3710,54.8
3711,42.0
3316,33.4
3317,32.0
3318,31.4
3319,31.4
2628,43.6
2629,47.4
2630,43.6
2631,12.2
1324,27.0
1325,28.6
1326,29.8
1327,28.8
2664,51.0
2665,43.6
2666,48.8
2667,44.4
996,19.8
997,15.8
998,21.2
999,22.6
3636,38.6
3637,39.2
3638,43.8
3639,42.8
2840,41.6
2841,43.4
2842,40.0
2843,38.8
1220,29.4
1221,31.2
1222,30.6
1223,32.0
2924,37.0
2925,37.8
2926,31.2
2927,30.2
3908,36.0
3909,41.8
3910,39.2
3911,42.6
196,55.2
197,48.6
198,45.4
199,49.2
2912,37.4
2913,38.2
2914,39.6
2915,42.8
8,42.8
9,44.6
10,43.4
11,46.8
2176,15.6
2177,16.2
2178,13.8
2179,21.2
1400,33.2
1401,34.6
1402,31.2
1403,25.4
3624,39.2
3625,37.6
3626,33.0
3627,38.6
2144,57.0
2145,48.6
2146,63.0
2147,60.4
1376,37.4
1377,37.2
1378,36.8
1379,39.2
3984,41.2
3985,40.0
3986,33.2
3987,28.6
1924,51.0
1925,55.4
1926,48.6
1927,43.8
3384,29.8
3385,37.6
3386,35.2
3387,38.6
132,46.6
133,60.8
134,47.2
135,50.2
124,50.4
125,51.0
126,54.4
127,55.0
924,8.6
925,8.2
926,7.6
927,9.2
2996,27.4
2997,25.6
2998,18.4
2999,23.6
768,27.0
769,28.8
770,25.0
771,25.6
1332,29.4
1333,30.8
1334,26.4
1335,27.0
12,42.2
13,40.6
14,47.2
15,41.2
816,28.2
817,28.4
818,26.0
819,27.0
2056,46.0
2057,43.6
2058,38.4
2059,48.0
2300,41.2
2301,41.6
2302,42.2
2303,41.2
1224,36.8
1225,37.8
1226,37.2
1227,32.2
436,41.2
437,55.4
438,66.0
439,43.4
1720,8.6
1721,8.0
1722,7.0
1723,9.6
308,29.8
309,32.8
310,29.0
311,31.8
336,55.0
337,64.4
338,52.6
339,63.0
1144,9.8
1145,10.8
1146,11.6
1147,10.8
328,24.8
329,18.6
330,22.4
331,24.2
2464,51.8
2465,45.4
2466,47.2
2467,46.8
3552,31.4
3553,34.2
3554,29.4
3555,28.4
3504,28.4
3505,29.8
3506,32.7
3507,30.2
1592,28.2
1593,25.6
1594,27.8
1595,26.2
1292,29.0
1293,30.6
1294,31.8
1295,30.8
2076,65.4
2077,58.8
2078,53.6
2079,55.2
3672,41.0
3673,44.0
3674,45.6
3675,45.2
3108,34.4
3109,25.4
3110,20.8
3111,27.8
20,48.4
21,39.6
22,43.6
23,45.8
3276,35.2
3277,40.2
3278,38.8
3279,38.0
1860,48.6
1861,27.8
1862,56.4
1863,40.8
388,34.2
389,24.0
390,39.6
391,27.6
1064,16.6
1065,19.0
1066,17.2
1067,20.4
1428,29.0
1429,26.2
1430,25.4
1431,26.0
3480,37.8
3481,36.4
3482,34.8
3483,38.6
3488,34.0
3489,35.8
3490,38.0
3491,25.6
1520,26.0
1521,25.2
1522,26.8
1523,27.8
2532,28.2
2533,32.2
2534,37.0
2535,34.8
1524,19.0
1525,21.4
1526,19.4
1527,19.8
1960,58.2
1961,49.2
1962,55.4
1963,50.0
472,45.8
473,40.6
474,44.6
475,1.4
3268,41.2
3269,44.6
3270,41.2
3271,35.6
1000,8.2
1001,8.2
1002,8.4
1003,7.4
2092,57.6
2093,61.4
2094,49.0
2095,56.4
36,59.4
37,47.6
38,45.2
39,53.8
784,20.0
785,24.6
786,21.6
787,23.0
2420,41.2
2421,40.4
2422,45.0
2423,40.8
324,41.6
325,30.2
326,25.4
327,39.8
3140,55.0
3141,54.0
3142,55.8
3143,57.2
2356,31.8
2357,42.0
2358,44.0
2359,40.4
2484,28.8
2485,27.2
2486,27.6
2487,30.8
956,13.2
957,16.4
958,13.2
959,13.2
1160,32.2
1161,33.7
1162,35.4
1163,34.6
844,33.8
845,38.2
846,10.2
847,41.4
3572,41.6
3573,46.8
3574,42.0
3575,46.8
1436,27.4
1437,30.2
1438,28.0
1439,26.6
1796,18.2
1797,15.0
1798,21.2
1799,18.8
908,28.6
909,29.0
910,28.8
911,29.4
3432,44.4
3433,37.6
3434,41.4
3435,41.2
3792,32.6
3793,29.6
3794,23.8
3795,28.0
3192,43.6
3193,47.2
3194,58.8
3195,40.0
2004,33.2
2005,31.6
2006,36.8
2007,32.6
1856,51.2
1857,39.2
1858,47.0
1859,42.2
1448,25.8
1449,27.2
1450,24.4
1451,24.6
1872,46.6
1873,43.2
1874,43.0
1875,35.6
3748,39.0
3749,35.6
3750,31.6
3751,33.8
1712,15.2
1713,14.6
1714,18.0
1715,15.0
28,44.4
29,44.6
30,47.0
31,42.8
620,14.6
621,9.6
622,10.8
623,13.4
2164,71.6
2165,67.6
2166,75.4
2167,78.6
1760,31.8
1761,43.6
1762,35.4
1763,34.2
1928,39.2
1929,41.4
1930,39.4
1931,47.6
1688,9.8
1689,10.2
1690,9.2
1691,11.2
3120,41.2
3121,41.8
3122,40.6
3123,46.4
3804,37.0
3805,32.6
3806,38.4
3807,24.2
1336,40.2
1337,40.4
1338,38.4
1339,39.6
2312,48.4
2313,47.0
2314,48.8
2315,52.6
3744,42.4
3745,52.0
3746,46.8
3747,42.8
2268,63.4
2269,64.0
2270,54.0
2271,55.6
2384,28.0
2385,38.8
2386,31.6
2387,30.6
2120,44.4
2121,53.8
2122,55.0
2123,58.4
2332,42.0
2333,42.6
2334,42.0
2335,39.0
2936,18.0
2937,8.4
2938,10.0
2939,12.6
1792,49.6
1793,46.6
1794,45.6
1795,57.2
1812,39.2
1813,39.8
1814,46.8
1815,39.0
912,37.2
913,24.4
914,26.6
915,37.8
1408,35.2
1409,36.0
1410,36.2
1411,34.0
2920,38.2
2921,41.8
2922,52.6
2923,45.2
848,30.4
849,36.0
850,30.6
851,28.2
316,46.8
317,53.0
318,55.8
319,56.4
592,40.4
593,39.2
594,39.2
595,41.8
1208,29.8
1209,32.4
1210,40.0
1211,33.6
2520,54.4
2521,47.6
2522,56.2
2523,57.0
3412,29.2
3413,31.0
3414,33.2
3415,30.2
2024,61.4
2025,64.6
2026,48.4
2027,53.4
1368,36.8
1369,36.2
1370,34.4
1371,35.8
1940,55.4
1941,46.4
1942,54.2
1943,47.0
3924,54.0
3925,45.8
3926,45.6
3927,47.6
532,38.2
533,38.8
534,38.2
535,39.6
2820,48.8
2821,51.8
2822,57.4
2823,49.0
1244,42.4
1245,44.4
1246,41.8
1247,41.4
2540,49.6
2541,42.8
2542,47.8
2543,45.2
2524,46.4
2525,45.6
2526,45.8
2527,43.2
0,11.6
1,10.6
2,9.2
3,13.2
1264,37.6
1265,39.0
1266,35.6
1267,36.0
2832,39.6
2833,42.0
2834,35.4
2835,38.0
2188,46.2
2189,55.6
2190,55.8
2191,50.2
3496,30.2
3497,34.8
3498,32.2
3499,31.6
2128,55.8
2129,52.2
2130,46.6
2131,48.0
1908,35.2
1909,31.4
1910,36.6
1911,40.0
1616,17.8
1617,20.0
1618,18.8
1619,16.6
688,17.2
689,27.8
690,23.6
691,19.6
500,38.6
501,39.0
502,36.2
503,35.6
1576,24.6
1577,19.6
1578,25.6
1579,27.6
1680,11.8
1681,12.2
1682,11.6
1683,19.6
2208,43.6
2209,39.2
2210,45.6
2211,38.8
3620,33.8
3621,33.4
3622,33.2
3623,35.4
360,41.0
361,40.6
362,38.2
363,39.4
3764,44.4
3765,49.8
3766,46.2
3767,50.4
724,26.6
725,35.8
726,32.2
727,30.2
1096,6.4
1097,6.0
1098,7.2
1099,7.2
3724,45.6
3725,48.2
3726,51.2
3727,48.0
276,40.8
277,42.0
278,41.2
279,44.8
1164,34.8
1165,32.6
1166,30.4
1167,35.8
524,41.6
525,40.2
526,40.4
527,40.0
1200,39.4
1201,37.6
1202,40.4
1203,38.2
1696,41.8
1697,45.2
1698,46.6
1699,44.8
1304,44.2
1305,37.4
1306,37.0
1307,41.2
576,46.0
577,60.4
578,46.4
579,53.0
1692,42.0
1693,34.4
1694,41.8
1695,41.2
2328,48.0
2329,42.6
2330,39.4
2331,50.0
540,39.0
541,41.0
542,51.0
543,52.6
1800,29.8
1801,29.0
1802,41.4
1803,31.0
656,55.8
657,52.8
658,48.6
659,49.4
112,47.0
113,49.9
114,47.2
115,45.6
3860,31.2
3861,31.4
3862,27.8
3863,33.2
772,15.2
773,18.0
774,12.6
775,14.8
1552,29.0
1553,32.6
1554,30.6
1555,32.2
2600,46.0
2601,40.6
2602,38.8
2603,40.6
676,45.1
677,43.2
678,45.2
679,42.8
2828,45.2
2829,44.8
2830,43.0
2831,39.8
560,39.8
561,44.6
562,41.8
563,37.8
692,30.6
693,28.6
694,22.8
695,27.6
24,50.8
25,49.8
26,52.6
27,44.6
2572,33.6
2573,43.2
2574,31.0
2575,34.2
1912,44.8
1913,42.6
1914,45.4
1915,43.4
292,45.6
293,49.2
294,54.4
295,51.4
2740,39.4
2741,37.8
2742,39.4
2743,44.4
3980,29.8
3981,35.6
3982,49.0
3983,30.2
952,4.2
953,5.4
954,4.6
955,6.6
580,43.0
581,49.4
582,41.0
583,43.8
3796,46.4
3797,42.8
3798,41.0
3799,47.6
936,5.8
937,4.6
938,5.6
939,5.6
880,29.4
881,27.2
882,30.2
883,28.0
3700,61.0
3701,45.0
3702,49.2
3703,50.6
2000,72.0
2001,62.4
2002,56.4
2003,60.4
528,40.4
529,41.4
530,41.8
531,40.4
3968,37.6
3969,36.4
3970,41.4
3971,41.6
3736,24.2
3737,21.2
3738,11.4
3739,17.4
740,20.1
741,19.4
742,28.6
743,26.8
164,58.4
165,54.4
166,46.6
167,45.6
3012,21.6
3013,19.8
3014,25.6
3015,21.0
432,50.0
433,46.8
434,61.0
435,54.6
2360,37.0
2361,41.8
2362,41.4
2363,39.8
224,55.2
225,57.0
226,51.6
227,54.8
1620,60.8
1621,64.0
1622,53.8
1623,53.0
1768,49.2
1769,46.8
1770,49.0
1771,51.8
3036,35.8
3037,43.4
3038,41.2
3039,40.6
3612,32.6
3613,33.0
3614,27.6
3615,34.4
96,50.4
97,46.0
98,48.4
99,54.2
1868,56.2
1869,62.0
1870,52.8
1871,44.0
2156,37.8
2157,48.0
2158,53.8
2159,46.8
2124,49.6
2125,55.8
2126,54.2
2127,55.4
2480,50.8
2481,44.8
2482,50.0
2483,52.0
2784,34.2
2785,34.0
2786,34.0
2787,49.2
3712,33.6
3713,24.2
3714,19.0
3715,28.2
1352,42.0
1353,31.0
1354,41.6
1355,35.2
204,45.4
205,49.4
206,47.0
207,42.4
2028,49.8
2029,59.4
2030,58.0
2031,57.8
2064,62.4
2065,65.6
2066,62.2
2067,56.2
3688,31.6
3689,30.4
3690,28.6
3691,33.0
2536,51.4
2537,44.0
2538,42.4
2539,49.0
1056,16.2
1057,8.0
1058,8.4
1059,14.6
2352,38.6
2353,38.6
2354,38.0
2355,38.0
2848,45.4
2849,41.4
2850,51.4
2851,45.6
2736,47.4
2737,39.6
2738,43.0
2739,46.0
3336,31.0
3337,21.6
3338,29.4
3339,31.0
2072,47.6
2073,48.6
2074,49.6
2075,45.8
1788,52.6
1789,58.2
1790,48.0
1791,48.2
72,33.8
73,41.4
74,46.6
75,43.4
2868,44.0
2869,47.8
2870,50.6
2871,44.2
1932,55.2
1933,45.2
1934,48.4
1935,48.2
2272,49.6
2273,49.2
2274,53.2
2275,50.0
1732,43.2
1733,31.0
1734,44.8
1735,32.2
1468,32.4
1469,32.6
1470,35.2
1471,30.8
332,50.4
333,54.2
334,53.6
335,42.6
244,57.0
245,58.0
246,54.8
247,59.4
2812,53.8
2813,44.6
2814,49.0
2815,49.4
1088,22.2
1089,27.8
1090,15.4
1091,13.2
1140,14.0
1141,11.8
1142,11.6
1143,14.2
1440,27.2
1441,27.0
1442,24.4
1443,27.0
1416,24.6
1417,22.2
1418,21.8
1419,26.2
1824,29.0
1825,34.0
1826,37.2
1827,31.2
1112,4.6
1113,17.2
1114,8.0
1115,8.4
48,54.8
49,50.8
50,50.6
51,53.8
728,35.4
729,41.6
730,44.0
731,43.0
1472,23.8
1473,23.6
1474,21.4
1475,26.2
3532,28.4
3533,26.0
3534,28.0
3535,27.4
2468,44.0
2469,48.4
2470,47.8
2471,47.8
892,21.2
893,24.8
894,27.4
895,31.8
3204,40.0
3205,39.8
3206,38.0
3207,46.6
3584,28.6
3585,27.6
3586,32.2
3587,31.2
2620,46.8
2621,49.2
2622,50.4
2623,48.0
2180,58.8
2181,61.4
2182,59.6
2183,55.2
2336,46.6
2337,50.6
2338,46.0
2339,49.0
3000,29.2
3001,25.2
3002,33.4
3003,27.8
704,27.0
705,27.2
706,22.0
707,21.8
2668,38.4
2669,45.2
2670,35.8
2671,42.0
2516,44.8
2517,48.0
2518,51.6
2519,48.4
2348,56.2
2349,47.8
2350,45.2
2351,49.2
3808,34.8
3809,35.8
3810,32.8
3811,34.2
1572,25.0
1573,28.4
1574,28.0
1575,26.4
652,38.6
653,47.4
654,44.6
655,42.8
992,16.2
993,11.6
994,10.0
995,9.4
2544,37.8
2545,28.8
2546,45.8
2547,33.6
3548,29.2
3549,31.4
3550,30.6
3551,28.8
3124,43.2
3125,34.8
3126,31.2
3127,54.0
1500,28.6
1501,26.8
1502,25.6
1503,25.6
1648,41.4
1649,44.2
1650,46.8
1651,41.8
296,47.8
297,45.4
298,50.8
299,49.2
452,44.8
453,47.2
454,44.0
455,42.2
2280,37.2
2281,37.4
2282,36.6
2283,38.0
3852,50.4
3853,38.4
3854,45.6
3855,56.0
1560,16.6
1561,16.0
1562,18.0
1563,21.2
416,43.0
417,39.6
418,41.0
419,48.0
456,49.4
457,47.0
458,47.6
459,47.6
1668,7.6
1669,9.0
1670,6.6
1671,14.2
2100,51.6
2101,64.6
2102,61.6
2103,58.0
1828,34.0
1829,35.6
1830,41.8
1831,27.4
1636,39.0
1637,43.2
1638,43.8
1639,39.6
368,48.4
369,44.0
370,45.0
371,46.0
3728,29.8
3729,29.8
3730,30.4
3731,30.0
356,21.4
357,34.6
358,35.4
359,26.6
1344,37.4
1345,39.0
1346,36.2
1347,38.2
3960,31.6
3961,29.8
3962,30.8
3963,34.0
3692,29.6
3693,28.4
3694,27.6
3695,31.0
3740,34.4
3741,31.4
3742,30.4
3743,30.4
3332,43.2
3333,37.2
3334,40.4
3335,37.8
2380,38.2
2381,29.2
2382,37.0
2383,30.8
2452,38.8
2453,34.2
2454,38.8
2455,45.0
376,49.6
377,47.8
378,51.0
379,49.2
44,41.0
45,48.8
46,46.0
47,48.0
1584,12.6
1585,14.4
1586,15.0
1587,16.8
2132,42.0
2133,51.4
2134,42.8
2135,53.2
172,48.6
173,47.8
174,46.8
175,45.8
168,56.2
169,49.0
170,59.6
171,54.8
1316,37.2
1317,39.4
1318,38.4
1319,38.0
668,41.4
669,42.0
670,41.8
671,42.4
1988,53.0
1989,53.2
1990,57.2
1991,62.8
3560,32.4
3561,33.0
3562,33.4
3563,39.4
2396,37.8
2397,41.2
2398,42.2
2399,40.8
3032,36.0
3033,40.4
3034,44.4
3035,49.4
400,60.4
401,42.2
402,47.4
403,52.0
1704,17.8
1705,15.0
1706,13.4
1707,15.0
712,22.6
713,25.8
714,28.2
715,22.8
1776,45.6
1777,46.8
1778,58.4
1779,54.2
1664,40.4
1665,44.8
1666,41.0
1667,38.2
2596,47.8
2597,48.4
2598,44.8
2599,53.6
3536,44.8
3537,43.8
3538,41.8
3539,43.6
2640,46.4
2641,41.0
2642,54.0
2643,54.2
708,13.0
709,15.2
710,14.2
711,10.8
1580,19.6
1581,15.6
1582,10.6
1583,11.8
2712,35.8
2713,37.0
2714,38.2
2715,40.4
3196,47.0
3197,38.8
3198,45.6
3199,49.0
3848,36.2
3849,39.6
3850,41.2
3851,40.2
3816,38.6
3817,37.8
3818,38.4
3819,41.6
1532,29.8
1533,29.4
1534,28.2
1535,27.0
3832,34.6
3833,33.8
3834,36.8
3835,36.0
3972,36.0
3973,35.8
3974,36.2
3975,34.0
1028,10.8
1029,7.0
1030,6.0
1031,8.8
2152,30.0
2153,30.6
2154,36.0
2155,28.4
1340,33.4
1341,32.8
1342,39.4
1343,33.8
60,43.0
61,49.2
62,48.8
63,42.8
1296,38.4
1297,36.8
1298,35.6
1299,32.6
3040,52.0
3041,34.4
3042,31.8
3043,37.2
888,16.6
889,17.6
890,18.6
891,17.8
716,31.8
717,34.8
718,32.4
719,33.0
3940,8.2
